Probka	Typ	Thin	Thout
805	Pomiar	65,00	65,42	
806	Pomiar	66,00	66,06	
807	Pomiar	66,00	66,06	
808	Pomiar	66,00	66,06	
809	Pomiar	66,00	66,41	
810	Pomiar	66,00	66,41	
811	Pomiar	66,00	66,41	
812	Pomiar	66,00	66,41	
813	Pomiar	66,00	66,41	
814	Pomiar	66,00	66,41	
815	Pomiar	66,00	66,41	
816	Pomiar	67,00	67,40	
817	Pomiar	67,00	67,04	
818	Pomiar	67,00	67,04	
819	Pomiar	67,00	67,40	
820	Pomiar	67,00	67,40	
821	Pomiar	67,00	67,40	
822	Pomiar	67,00	67,40	
823	Pomiar	67,00	67,40	
824	Pomiar	67,00	67,40	
825	Pomiar	67,00	67,40	
826	Pomiar	68,00	68,40	
827	Pomiar	68,00	68,40	
828	Pomiar	68,00	68,03	
829	Pomiar	68,00	68,03	
830	Pomiar	68,00	68,03	
831	Pomiar	68,00	68,03	
832	Pomiar	68,00	68,03	
833	Pomiar	68,00	68,03	
834	Pomiar	68,00	68,03	
835	Pomiar	68,00	68,03	
836	Pomiar	68,00	68,03	
837	Pomiar	68,00	68,03	
838	Pomiar	69,00	69,02	
839	Pomiar	69,00	69,02	
840	Pomiar	69,00	69,02	
